ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300256.SZ,20190315,4.19,4.25,4.13,4.2,4.18,0.02,0.4785,285661.82,119831.226
300256.SZ,20190318,4.19,4.25,4.08,4.2,4.2,0.0,0.0,285527.67,118290.213
300256.SZ,20190319,4.2,4.24,4.12,4.14,4.2,-0.06,-1.4286,259192.37,107795.496
300256.SZ,20190320,4.19,4.2,4.04,4.14,4.14,0.0,0.0,256933.21,106033.225
300256.SZ,20190321,4.14,4.32,4.1,4.25,4.14,0.11,2.657,393673.51,166206.63
300256.SZ,20190322,4.23,4.43,4.23,4.38,4.25,0.13,3.0588,489032.23,213581.349
300256.SZ,20190325,4.29,4.36,4.21,4.25,4.38,-0.13,-2.968,343344.17,147294.179
300256.SZ,20190326,4.25,4.31,4.03,4.05,4.25,-0.2,-4.7059,312888.2,129881.617
300256.SZ,20190327,4.11,4.11,3.9,4.01,4.05,-0.04,-0.9877,212000.0,84579.314
300256.SZ,20190328,4.05,4.15,4.0,4.01,4.01,0.0,0.0,233820.44,95262.415
300256.SZ,20190329,4.02,4.08,3.91,4.07,4.01,0.06,1.4963,260323.03,104290.157
300256.SZ,20190401,4.08,4.22,4.07,4.21,4.07,0.14,3.4398,313450.5,130601.138
300256.SZ,20190402,4.22,4.26,4.16,4.2,4.21,-0.01,-0.2375,332689.53,140089.904
300256.SZ,20190403,4.17,4.62,4.17,4.62,4.2,0.42,10.0,353699.99,158277.261
300256.SZ,20190404,4.88,5.08,4.67,4.68,4.62,0.06,1.2987,1262106.91,608712.233
300256.SZ,20190408,4.64,4.77,4.42,4.54,4.68,-0.14,-2.9915,655133.53,300769.581
300256.SZ,20190409,4.49,4.76,4.39,4.73,4.54,0.19,4.185,521673.2,242354.673
300256.SZ,20190410,4.64,4.65,4.48,4.53,4.73,-0.2,-4.2283,374319.67,170457.956
300256.SZ,20190411,4.5,4.61,4.37,4.39,4.53,-0.14,-3.0905,266381.0,118825.575
300256.SZ,20190412,4.42,4.46,4.32,4.4,4.39,0.01,0.2278,155318.43,68049.653
300256.SZ,20190415,4.48,4.54,4.28,4.29,4.4,-0.11,-2.5,185396.0,81925.144
300256.SZ,20190416,4.25,4.43,4.12,4.4,4.29,0.11,2.5641,266938.41,113657.49
300256.SZ,20190417,4.4,4.52,4.35,4.44,4.4,0.04,0.9091,245160.52,109381.56
300256.SZ,20190418,4.41,4.53,4.36,4.44,4.44,0.0,0.0,186827.12,83112.623
300256.SZ,20190419,4.42,4.46,4.33,4.45,4.44,0.01,0.2252,197149.53,86703.267
300256.SZ,20190422,4.07,4.32,4.05,4.19,4.45,-0.26,-5.8427,439899.95,184367.244
300256.SZ,20190423,4.17,4.23,4.06,4.07,4.19,-0.12,-2.864,201084.56,83047.375
300256.SZ,20190424,4.06,4.15,3.83,4.1,4.07,0.03,0.7371,343683.95,137585.767
300256.SZ,20190425,4.04,4.07,3.8,3.82,4.1,-0.28,-6.8293,267756.8,105731.948
300256.SZ,20190426,3.82,3.83,3.68,3.68,3.82,-0.14,-3.6649,219858.5,82489.038
300256.SZ,20190429,3.66,3.74,3.34,3.34,3.68,-0.34,-9.2391,306059.36,106722.805
300256.SZ,20190430,3.36,3.55,3.36,3.49,3.34,0.15,4.491,234239.03,81491.475
300256.SZ,20190506,3.39,3.48,3.19,3.31,3.49,-0.18,-5.1576,270539.15,90802.221
300256.SZ,20190507,3.35,3.47,3.3,3.38,3.31,0.07,2.1148,191941.27,64695.764
300256.SZ,20190508,3.31,3.48,3.26,3.39,3.38,0.01,0.2959,175954.37,59441.267
300256.SZ,20190509,3.34,3.43,3.27,3.29,3.39,-0.1,-2.9499,138304.23,46167.185
300256.SZ,20190510,3.35,3.46,3.28,3.42,3.29,0.13,3.9514,211113.39,71293.061
300256.SZ,20190513,3.4,3.47,3.36,3.44,3.42,0.02,0.5848,152494.16,52235.048
300256.SZ,20190514,3.45,3.48,3.35,3.38,3.44,-0.06,-1.7442,125285.0,42886.012
300256.SZ,20190515,3.35,3.43,3.34,3.41,3.38,0.03,0.8876,143290.89,48718.734
300256.SZ,20190516,3.41,3.45,3.38,3.45,3.41,0.04,1.173,136823.92,46870.979
300256.SZ,20190517,3.8,3.8,3.8,3.8,3.45,0.35,10.1449,115591.23,43924.667
300256.SZ,20190520,4.18,4.18,4.18,4.18,3.8,0.38,10.0,106447.7,44495.138
300256.SZ,20190521,4.6,4.6,4.17,4.19,4.18,0.01,0.2392,1636991.44,724754.469
300256.SZ,20190522,4.02,4.38,3.96,4.33,4.19,0.14,3.3413,1209780.74,501288.383
300256.SZ,20190523,4.18,4.2,3.9,3.9,4.33,-0.43,-9.9307,853807.08,341504.535
300256.SZ,20190524,3.72,3.83,3.51,3.51,3.9,-0.39,-10.0,623463.77,226606.714
300256.SZ,20190527,3.53,3.65,3.47,3.64,3.51,0.13,3.7037,395638.63,141842.194
300256.SZ,20190528,3.61,3.76,3.58,3.68,3.64,0.04,1.0989,447298.09,163592.146
300256.SZ,20190529,3.63,3.74,3.59,3.65,3.68,-0.03,-0.8152,372265.58,136551.161
300256.SZ,20190530,3.62,3.65,3.51,3.6,3.65,-0.05,-1.3699,290157.23,103585.701
300256.SZ,20190531,3.6,3.69,3.53,3.54,3.6,-0.06,-1.6667,280800.02,100990.076
300256.SZ,20190603,3.58,3.59,3.36,3.42,3.54,-0.12,-3.3898,308893.06,106282.967
300256.SZ,20190604,3.41,3.57,3.4,3.48,3.42,0.06,1.7544,309611.25,108321.986
300256.SZ,20190605,3.51,3.52,3.42,3.46,3.48,-0.02,-0.5747,200737.87,69583.149
300256.SZ,20190606,3.45,3.46,3.31,3.34,3.46,-0.12,-3.4682,198291.84,66394.001
300256.SZ,20190610,3.36,3.38,3.32,3.35,3.34,0.01,0.2994,118785.6,39869.707
300256.SZ,20190611,3.35,3.69,3.34,3.66,3.35,0.31,9.2537,552584.23,198727.525
300256.SZ,20190612,3.58,3.66,3.52,3.52,3.66,-0.14,-3.8251,341888.69,122484.334
300256.SZ,20190613,3.54,3.66,3.52,3.61,3.52,0.09,2.5568,248564.66,89747.824
300256.SZ,20190614,3.59,3.65,3.46,3.49,3.61,-0.12,-3.3241,163293.0,57756.399
300256.SZ,20190617,3.45,3.53,3.43,3.5,3.49,0.01,0.2865,82985.0,28849.295
300256.SZ,20190618,3.49,3.51,3.44,3.48,3.5,-0.02,-0.5714,75012.95,26063.187
300256.SZ,20190619,3.59,3.61,3.51,3.52,3.48,0.04,1.1494,134373.07,47639.851
300256.SZ,20190620,3.5,3.58,3.45,3.55,3.52,0.03,0.8523,148606.83,52340.593
300256.SZ,20190621,3.91,3.91,3.68,3.75,3.55,0.2,5.6338,561456.09,213310.206
300256.SZ,20190624,3.7,3.75,3.63,3.67,3.75,-0.08,-2.1333,282828.16,104112.387
300256.SZ,20190625,3.67,3.69,3.57,3.61,3.67,-0.06,-1.6349,174270.63,62997.28
300256.SZ,20190626,3.59,3.78,3.57,3.67,3.61,0.06,1.662,249258.7,92467.083
300256.SZ,20190627,3.66,3.74,3.64,3.7,3.67,0.03,0.8174,219148.5,80930.77
300256.SZ,20190628,3.69,3.69,3.55,3.59,3.7,-0.11,-2.973,170998.2,61598.534
300256.SZ,20190701,3.85,3.95,3.71,3.95,3.59,0.36,10.0279,369851.96,142254.898
300256.SZ,20190702,4.2,4.35,4.05,4.07,3.95,0.12,3.038,1604163.7,684423.05
300256.SZ,20190703,3.75,4.01,3.71,3.86,4.07,-0.21,-5.1597,977208.89,371764.475
300256.SZ,20190704,3.82,3.84,3.71,3.72,3.86,-0.14,-3.6269,400487.5,150803.671
300256.SZ,20190705,3.72,3.82,3.72,3.75,3.72,0.03,0.8065,243643.5,91597.651
300256.SZ,20190708,3.69,3.72,3.55,3.57,3.75,-0.18,-4.8,303323.5,109558.076
300256.SZ,20190709,3.56,3.6,3.43,3.59,3.57,0.02,0.5602,227916.03,80503.092
300256.SZ,20190710,3.64,3.78,3.61,3.7,3.59,0.11,3.0641,362936.46,133995.328
300256.SZ,20190711,3.68,3.71,3.55,3.61,3.7,-0.09,-2.4324,264274.0,95755.521
300256.SZ,20190712,3.58,3.66,3.57,3.65,3.61,0.04,1.108,138624.5,50316.248
