,exchange,cal_date,is_open
725,SZSE,20191227,1
726,SZSE,20191228,0
727,SZSE,20191229,0
728,SZSE,20191230,1
729,SZSE,20191231,1
730,SZSE,20200101,0
731,SZSE,20200102,1
732,SZSE,20200103,1
733,SZSE,20200104,0
734,SZSE,20200105,0
735,SZSE,20200106,1
736,SZSE,20200107,1
737,SZSE,20200108,1
738,SZSE,20200109,1
739,SZSE,20200110,1
740,SZSE,20200111,0
741,SZSE,20200112,0
742,SZSE,20200113,1
743,SZSE,20200114,1
744,SZSE,20200115,1
745,SZSE,20200116,1
746,SZSE,20200117,1
747,SZSE,20200118,0
748,SZSE,20200119,0
749,SZSE,20200120,1
750,SZSE,20200121,1
751,SZSE,20200122,1
752,SZSE,20200123,1
753,SZSE,20200124,0
754,SZSE,20200125,0
755,SZSE,20200126,0
756,SZSE,20200127,0
757,SZSE,20200128,0
758,SZSE,20200129,0
759,SZSE,20200130,0
760,SZSE,20200131,0
761,SZSE,20200201,0
762,SZSE,20200202,0
763,SZSE,20200203,1
764,SZSE,20200204,1
765,SZSE,20200205,1
766,SZSE,20200206,1
767,SZSE,20200207,1
768,SZSE,20200208,0
769,SZSE,20200209,0
770,SZSE,20200210,1
771,SZSE,20200211,1
772,SZSE,20200212,1
773,SZSE,20200213,1
774,SZSE,20200214,1
775,SZSE,20200215,0
776,SZSE,20200216,0
777,SZSE,20200217,1
778,SZSE,20200218,1
779,SZSE,20200219,1
780,SZSE,20200220,1
781,SZSE,20200221,1
782,SZSE,20200222,0
783,SZSE,20200223,0
784,SZSE,20200224,1
785,SZSE,20200225,1
786,SZSE,20200226,1
787,SZSE,20200227,1
788,SZSE,20200228,1
789,SZSE,20200229,0
790,SZSE,20200301,0
791,SZSE,20200302,1
792,SZSE,20200303,1
793,SZSE,20200304,1
794,SZSE,20200305,1
795,SZSE,20200306,1
796,SZSE,20200307,0
797,SZSE,20200308,0
798,SZSE,20200309,1
799,SZSE,20200310,1
800,SZSE,20200311,1
801,SZSE,20200312,1
802,SZSE,20200313,1
803,SZSE,20200314,0
804,SZSE,20200315,0
805,SZSE,20200316,1
806,SZSE,20200317,1
807,SZSE,20200318,1
808,SZSE,20200319,1
809,SZSE,20200320,1
810,SZSE,20200321,0
811,SZSE,20200322,0
812,SZSE,20200323,1
813,SZSE,20200324,1
814,SZSE,20200325,1
815,SZSE,20200326,1
816,SZSE,20200327,1
817,SZSE,20200328,0
818,SZSE,20200329,0
819,SZSE,20200330,1
820,SZSE,20200331,1
821,SZSE,20200401,1
822,SZSE,20200402,1
823,SZSE,20200403,1
824,SZSE,20200404,0
825,SZSE,20200405,0
